က,k
ခရင်း,kʰəjɪɴ
ခရင်းကပ်,kʰəjɪɴkaʔ
ခရင်းကောင်,kʰəjɪɴkaʊɴ
ခရင်းခြစ်,kʰəjɪɴt͡ɕʰɪʔ
ခရစ္စမတ်,kʰəjəsə္səmaʔ
ခရစ်,kʰəjɪʔ
ခရစ်တော်,kʰəjɪʔtaʊʔ
ခရစ်တော်ရန်သူ,kʰəjɪʔtaʊʔjaɴθu
ခရစ်နှစ်,kʰəjɪʔn̥ɪʔ
ခရစ်ယာန်,kʰəjɪʔjaaɴ
ခရစ်သက္ကရာဇ်,kʰəjɪʔθəkə္kəjazɛʔ
ခရည်ခရည်,kʰəjikʰəji
ခရမ်း,kʰəjaɴ
ခရမ်းကစော့ပင်,kʰəjaɴkəsɔpɪɴ
ခရမ်းကြွပ်ပင်,kʰəjaɴt͡ɕʊʔpɪɴ
ခရမ်းချဉ်ပင်,kʰəjaɴt͡ɕʰɪɴpɪɴ
ခရမ်းချဉ်သီး,kʰəjaɴt͡ɕʰɪɴθi
ခရမ်းခေါင်းပင်,kʰəjaɴkʰeါɪɴpɪɴ
ခရမ်းစပ်ပင်,kʰəjaɴsaʔpɪɴ
ခရမ်းပင်,kʰəjaɴpɪɴ
ခရမ်းပိပင်,kʰəjaɴpipɪɴ
ခရမ်းပိမ့်,kʰəjaɴpeɪɴ
ခရမ်းရောင်,kʰəjaɴjaʊɴ
ခရမ်းလွန်ရောင်ခြည်,kʰəjaɴlʊɴjaʊɴt͡ɕʰi
ခရမ်းသီး,kʰəjaɴθi
ခရာ,kʰəja
ခရား,kʰəja
ခရားသီး,kʰəjaθi
ခရာစောက်အင်း,kʰəjasɔkɛʔʔɪɴ
ခရာတုတ်,kʰəjatoʊʔ
ခရာတုတ်သည်,kʰəjatoʊʔθi
ခရာတုပ်,kʰəjatoʊʔ
ခရာတွတ်,kʰəjatʊʔ
ခရာပင်,kʰəjapɪɴ
ခရာမှုတ်,kʰəjam̥oʊʔ
ခရာဝသေနတ်,kʰəjawəθenaʔ
ခရိုး,kʰəjo
ခရိုင်,kʰəjaɪɴ
ခရိုင်ဝန်,kʰəjaɪɴwaɴ
ခရီး,kʰəji
ခရီးကျုံ့,kʰəjit͡ɕoʊɴ
ခရီးကြမ်း,kʰəjit͡ɕaɴ
ခရီးကြုံ,kʰəjit͡ɕoʊɴ
ခရီးခန့်,kʰəjikʰaɴ
ခရီးစဉ်,kʰəjisɪɴ
ခရီးစရိတ်,kʰəjisəjeɪʔ
ခရီးဆစ်,kʰəjisʰɪʔ
ခရီးဆောင်ချက်လက်မှတ်,kʰəjisʰaʊɴt͡ɕʰəkɛʔləkɛʔm̥aʔ
ခရီးဆောင်ခုတင်,kʰəjisʰaʊɴkʰutɪɴ
ခရီးဆောင်ဝန်ပစ္စည်း,kʰəjisʰaʊɴwaɴpəsə္si
ခရီးတွင်,kʰəjitəwɪɴ
ခရီးထောက်,kʰəjitʰɔkɛʔ
ခရီးထောက်ချ,kʰəjitʰɔkɛʔt͡ɕʰ
ခရီးပန်း,kʰəjipaɴ
ခရီးပြင်း,kʰəjipəjɪɴ
ခရီးလမ်းစဉ်,kʰəjilaɴsɪɴ
ခရီးလမ်းညွန်စာအုပ်,kʰəjilaɴɲʊɴsaʔoʊʔ
ခရီးလွန်,kʰəjilʊɴ
ခရီးသည်,kʰəjiθi
ခရီးသွား,kʰəjiθəwa
ခရီးသွားမှတ်တမ်း,kʰəjiθəwam̥aʔtaɴ
ခရီးဦးကြိုဆို,kʰəjiʔuးt͡ɕosʰo
ခရီးဦးကြိုပြုသည်,kʰəjiʔuးt͡ɕopəjuθi
ခရု,kʰəju
ခရုကဏန်း,kʰəjukənaɴ
ခရုကတုံး,kʰəjukətoʊɴ
ခရုကျောက်မှောက်,kʰəjut͡ɕɔkɛʔm̥ɔkɛʔ
ခရုကြန်,kʰəjut͡ɕaɴ
ခရုကွက်,kʰəjukəwkɛʔ
ခရုခွံ,kʰəjukʰəwaɴ
ခရုစအိုလိမ်,kʰəjusəʔoleɪɴ
ခရုစုတ်,kʰəjusoʊʔ
ခရုစုတ်ငှက်,kʰəjusoʊʔŋ̥əkɛʔ
ခရုစုတ်ဖြူ,kʰəjusoʊʔpʰəju
ခရုဆင်နှာမောင်း,kʰəjusʰɪɴn̥amaʊɴ
ခရုဇီဇင်,kʰəjuzizɪɴ
ခရုတုတ်ငှက်,kʰəjutoʊʔŋ̥əkɛʔ
ခရုနဂါးခေါင်း,kʰəjunəɡəါးkʰeါɪɴ
ခရုနတ်စာ,kʰəjunaʔsa
ခရုနှမောင်းလိမ်,kʰəjun̥əmaʊɴleɪɴ
ခရုပက်ကျိ,kʰəjupəkɛʔt͡ɕi
ခရုပတ်,kʰəjupaʔ
ခရုပတ်ပွေး,kʰəjupaʔpəwe
ခရုပတ်ဗွေ,kʰəjupaʔbəwe
ခရုပြောက်,kʰəjupəjɔkɛʔ
ခရုပုပ်,kʰəjupoʊʔ
ခရုဖမ်းကိုင်,kʰəjupʰaɴkaɪɴ
ခရုဗျိုင်းချေး,kʰəjubəjaɪɴt͡ɕʰe
ခရုဗိုင်းလွန်,kʰəjubaɪɴlʊɴ
ခရုမင်းစာ,kʰəjumɪɴsa
ခရုမျက်စိတ်,kʰəjuməjkɛʔseɪʔ
ခရုမျက်လုံး,kʰəjuməjkɛʔloʊɴ
ခရုမြှေး,kʰəjuməjှe
ခရုယား,kʰəjuja
ခရုယားပင်လယ်,kʰəjujapɪɴlɛ
ခရုသံကြီး,kʰəjuθaɴt͡ɕi
ခရုသံကလေး,kʰəjuθaɴkəle
ခရုသင်း,kʰəjuθɪɴ
ခရုသင်းရောဂါ,kʰəjuθɪɴjɔɡəါ
ခရုသစ်ပင်တက်,kʰəjuθɪʔpɪɴtəkɛʔ
ခရုသဘီ,kʰəjuθəbi
ခရုအိုဇီ,kʰəjuʔozi
ခရူပင်,kʰəjupɪɴ
ခရေစေ့တွင်းကျ,kʰəjesetəwɪɴt͡ɕ
ခရေပင်,kʰəjepɪɴ
ခရေပန်း,kʰəjepaɴ
ခရေပွင့်,kʰəjepəwɪɴ
ခရောကရို့,kʰəjɔkəjo
ခရောင်း,kʰəjaʊɴ
ခရောင်းတော,kʰəjaʊɴtɔ
ခရော်ခရွတ်,kʰəjaʊʔkʰəjʊʔ
ခရွတ်ခရော်,kʰəjʊʔkʰəjaʊʔ
ခြ,t͡ɕʰ
ခြံ,t͡ɕʰaɴ
ခြံကာ,t͡ɕʰaɴka
ခြံခတ်သည်,t͡ɕʰaɴkʰaʔθi
ခြံစည်းရိုး,t͡ɕʰaɴsijo
ခြံထိုး,t͡ɕʰaɴtʰo
ခြံပေါက်,t͡ɕʰaɴpeါkɛʔ
ခြံမြေ,t͡ɕʰaɴməje
ခြံရံ,t͡ɕʰaɴjaɴ
ခြံလုပ်,t͡ɕʰaɴloʊʔ
ခြံဝိုင်း,t͡ɕʰaɴwaɪɴ
ခြံသမား,t͡ɕʰaɴθəma
ခြကုန်းတောင်ပို့,t͡ɕʰəkoʊɴtaʊɴpo
ခြကောင်,t͡ɕʰəkaʊɴ
ခြက်,t͡ɕʰəkɛʔ
ခြခြ,t͡ɕʰət͡ɕʰ
ခြခုံးကောင်,t͡ɕʰəkʰoʊɴkaʊɴ
ခြင်,t͡ɕʰɪɴ
ခြင်း,t͡ɕʰɪɴ
ခြင်းကြား,t͡ɕʰɪɴt͡ɕa
ခြင်းခတ်,t͡ɕʰɪɴkʰaʔ
ခြင်းခတ်သည်,t͡ɕʰɪɴkʰaʔθi
ခြင်းခြင်းနီ,t͡ɕʰɪɴt͡ɕʰɪɴni
ခြင်းတောင်း,t͡ɕʰɪɴtaʊɴ
ခြင်းပေါင်းကား,t͡ɕʰɪɴpeါɪɴka
ခြင်းရာ,t͡ɕʰɪɴja
ခြင်းရိုင်ခတ်,t͡ɕʰɪɴjaɪɴkʰaʔ
ခြင်းလုံး,t͡ɕʰɪɴloʊɴ
ခြင်းလုံးခတ်,t͡ɕʰɪɴloʊɴkʰaʔ
ခြင်ကျား,t͡ɕʰɪɴt͡ɕa
ခြင်ကောင်,t͡ɕʰɪɴkaʊɴ
ခြင်ခံ,t͡ɕʰɪɴkʰaɴ
ခြင်ခံတန်း,t͡ɕʰɪɴkʰaɴtaɴ
ခြင်ခြောက်,t͡ɕʰɪɴt͡ɕʰɔkɛʔ
ခြင်ဆီ,t͡ɕʰɪɴsʰi
ခြင်ဆီစိမ့်,t͡ɕʰɪɴsʰiseɪɴ
ခြင်ဆေး,t͡ɕʰɪɴsʰe
ခြင်ညှပ်,t͡ɕʰɪɴɲ̥aʔ
ခြင်တောင်း,t͡ɕʰɪɴtaʊɴ
ခြင်တွက်,t͡ɕʰɪɴtəwkɛʔ
ခြင်တွယ်,t͡ɕʰɪɴtəwɛ
ခြင်တွယ်သည်,t͡ɕʰɪɴtəwɛθi
ခြင်ထောင်,t͡ɕʰɪɴtʰaʊɴ
ခြင်ပိတ်,t͡ɕʰɪɴpeɪʔ
ခြင်ပိတ်တန်း,t͡ɕʰɪɴpeɪʔtaɴ
ခြင်ပုန်း,t͡ɕʰɪɴpoʊɴ
ခြင်ယပ်,t͡ɕʰɪɴjaʔ
ခြင်ရုပ်,t͡ɕʰɪɴjoʊʔ
ခြင်္သေ့,t͡ɕʰɪɴ္θe
ခြင်္သေ့ကလေး,t͡ɕʰɪɴ္θekəle
ခြင်္သေ့မ,t͡ɕʰɪɴ္θem
ခြင်္သေ့လည်ပြန်,t͡ɕʰɪɴ္θelipəjaɴ
ခြစ်,t͡ɕʰɪʔ
ခြစ်ကိုက်,t͡ɕʰɪʔkokɛʔ
ခြစ်ကုတ်,t͡ɕʰɪʔkoʊʔ
ခြစ်ခြစ်ကုတ်ကုတ်,t͡ɕʰɪʔt͡ɕʰɪʔkoʊʔkoʊʔ
ခြစ်ခွာ,t͡ɕʰɪʔkʰəwa
ခြစ်ဖြစ်ခြုတ်ခြုတ်,t͡ɕʰɪʔpʰəjɪʔt͡ɕʰoʊʔt͡ɕʰoʊʔ
ခြစ်သည်,t͡ɕʰɪʔθi
ခြစ်သား,t͡ɕʰɪʔθa
ခြည်,t͡ɕʰi
ခြတောင်ပို့,t͡ɕʰətaʊɴpo
ခြပုန်း,t͡ɕʰəpoʊɴ
ခြပုန်းကောင်,t͡ɕʰəpoʊɴkaʊɴ
ခြမ်း,t͡ɕʰaɴ
ခြမ်းသည်,t͡ɕʰaɴθi
ခြယ်,t͡ɕʰɛ
ခြယ်စီ,t͡ɕʰɛsi
ခြယ်နားကပ်,t͡ɕʰɛnakaʔ
ခြယ်မှုန်း,t͡ɕʰɛm̥oʊɴ
ခြယ်မှုန်းသည်,t͡ɕʰɛm̥oʊɴθi
ခြယ်လယ်,t͡ɕʰɛlɛ
ခြယ်လှယ်,t͡ɕʰɛɬɛ
ခြယ်လှယ်သည်,t͡ɕʰɛɬɛθi
ခြယ်သည်,t͡ɕʰɛθi
ခြအုံ,t͡ɕʰəʔoʊɴ
ခြာ,t͡ɕʰa
ခြား,t͡ɕʰa
ခြားကန်သင်း,t͡ɕʰakaɴθɪɴ
ခြားနာ,t͡ɕʰana
ခြားနားချက်,t͡ɕʰanat͡ɕʰəkɛʔ
ခြားနားသည်,t͡ɕʰanaθi
ခြားနားသော,t͡ɕʰanaθɔ
ခြားသန့်,t͡ɕʰaθaɴ
ခြာချုပ်,t͡ɕʰat͡ɕʰoʊʔ
ခြိ,t͡ɕʰi
ခြိပ်,t͡ɕʰeɪʔ
ခြိမ့်,t͡ɕʰeɪɴ
ခြိမ့်ခြိမ့်,t͡ɕʰeɪɴt͡ɕʰeɪɴ
ခြိမ့်ခြိမ့်မွမ်း,t͡ɕʰeɪɴt͡ɕʰeɪɴmʊɴ
ခြိမ့်ခြိမ့်သည်း,t͡ɕʰeɪɴt͡ɕʰeɪɴθi
ခြိမ့်ခြိမ့်သဲသဲ,t͡ɕʰeɪɴt͡ɕʰeɪɴθɛθɛ
ခြိမ့်အုန်း,t͡ɕʰeɪɴʔoʊɴ
ခြိမ်း,t͡ɕʰeɪɴ
ခြိမ်းခြောက်,t͡ɕʰeɪɴt͡ɕʰɔkɛʔ
ခြိမ်းခြောက်သည်,t͡ɕʰeɪɴt͡ɕʰɔkɛʔθi
ခြိမ်းမောင်း,t͡ɕʰeɪɴmaʊɴ
ခြိမ်းမောင်းသည်,t͡ɕʰeɪɴmaʊɴθi
ခြိမ်းမဲ,t͡ɕʰeɪɴmɛ
ခြို,t͡ɕʰo
ခြိုး,t͡ɕʰo
ခြိုးခြံ,t͡ɕʰot͡ɕʰaɴ
ခြိုက်,t͡ɕʰokɛʔ
ခြိုက်ခနဲ,t͡ɕʰokɛʔkʰənɛ
ခြိုက်ခြိုက်,t͡ɕʰokɛʔt͡ɕʰokɛʔ
ခြိုက်ခြိုက်မြိုက်မြိုက်,t͡ɕʰokɛʔt͡ɕʰokɛʔməjokɛʔməjokɛʔ
ခြိုက်မြိုက်,t͡ɕʰokɛʔməjokɛʔ
ခြိုက်ဟောက်,t͡ɕʰokɛʔhɔkɛʔ
ခြိုင့်,t͡ɕʰaɪɴ
ခြုံ,t͡ɕʰoʊɴ
ခြုံငုံမိ,t͡ɕʰoʊɴŋoʊɴmi
ခြုံထည်,t͡ɕʰoʊɴtʰi
ခြုံထည်သက္ကလတ်,t͡ɕʰoʊɴtʰiθəkə္kəlaʔ
ခြုံပြော,t͡ɕʰoʊɴpəjɔ
ခြုံရုံ,t͡ɕʰoʊɴjoʊɴ
ခြုံသည်,t͡ɕʰoʊɴθi
ခြုတ်,t͡ɕʰoʊʔ
ခြုတ်ခြယ်,t͡ɕʰoʊʔt͡ɕʰɛ
ခြုတ်ခြယ်သည်,t͡ɕʰoʊʔt͡ɕʰɛθi
ခြုတ်ခြုတ်ထိ,t͡ɕʰoʊʔt͡ɕʰoʊʔtʰi
ခြုန်း,t͡ɕʰoʊɴ
ခြုပ်,t͡ɕʰoʊʔ
ခြုပ်ခြယ်,t͡ɕʰoʊʔt͡ɕʰɛ
ခြုပ်ြခစ်,t͡ɕʰoʊʔjkʰɪʔ
ခြူး,t͡ɕʰu
ခြူးတန်ဆာ,t͡ɕʰutaɴsʰa
ခြူးနားတောင်း,t͡ɕʰunataʊɴ
ခြူးပန်း,t͡ɕʰupaɴ
ခြူးပန်းခြူးနွယ်,t͡ɕʰupaɴt͡ɕʰunəwɛ
ခြူးရုပ်,t͡ɕʰujoʊʔ
ခြူးလိမ်,t͡ɕʰuleɪɴ
ခြူးသေး,t͡ɕʰuθe
ခြူးအုံ,t͡ɕʰuʔoʊɴ
ခြူခြာ,t͡ɕʰut͡ɕʰa
ခြေ,t͡ɕʰe
ခြေး,t͡ɕʰe
ခြေကျင်,t͡ɕʰet͡ɕɪɴ
ခြေကျင်းသွား,t͡ɕʰet͡ɕɪɴθəwa
ခြေကျင်လျှောက်,t͡ɕʰet͡ɕɪɴləjှɔkɛʔ
ခြေကျဉ်,t͡ɕʰet͡ɕɪɴ
ခြေကြွ,t͡ɕʰet͡ɕəw
ခြေကုန်လက်ပန်းကျ,t͡ɕʰekoʊɴləkɛʔpaɴt͡ɕ
ခြေကုပ်စခန်း,t͡ɕʰekoʊʔsəkʰaɴ
ခြေချင်း,t͡ɕʰet͡ɕʰɪɴ
ခြေချင်းခတ်,t͡ɕʰet͡ɕʰɪɴkʰaʔ
ခြေချင်းရိုက်,t͡ɕʰet͡ɕʰɪɴjokɛʔ
ခြေချင်းဝတ်,t͡ɕʰet͡ɕʰɪɴwaʔ
ခြေချုပ်မိ,t͡ɕʰet͡ɕʰoʊʔmi
ခြေချောင်း,t͡ɕʰet͡ɕʰaʊɴ
ခြေချောင်းလက်ချောင်း,t͡ɕʰet͡ɕʰaʊɴləkɛʔt͡ɕʰaʊɴ
ခြေချွတ်လက်ချွတ်,t͡ɕʰet͡ɕʰʊʔləkɛʔt͡ɕʰʊʔ
ခြေခရိုင်,t͡ɕʰekʰəjaɪɴ
ခြေခြေမြစ်မြစ်,t͡ɕʰet͡ɕʰeməjɪʔməjɪʔ
ခြေခြောင်း,t͡ɕʰet͡ɕʰaʊɴ
ခြေခြောင်းမှုတ်,t͡ɕʰet͡ɕʰaʊɴm̥oʊʔ
ခြေခလယ်,t͡ɕʰekʰəlɛ
ခြေခုံ,t͡ɕʰekʰoʊɴ
ခြေခုံလက်ခုံ,t͡ɕʰekʰoʊɴləkɛʔkʰoʊɴ
ခြေစစ်ပွဲ,t͡ɕʰesɪʔpəwɛ
ခြေစမ်းပွဲ,t͡ɕʰesaɴpəwɛ
ခြေစုံရပ်,t͡ɕʰesoʊɴjaʔ
ခြေစွပ်,t͡ɕʰesʊʔ
ခြေဆံလက်ဆံ,t͡ɕʰesʰaɴləkɛʔsʰaɴ
ခြေဆင်း,t͡ɕʰesʰɪɴ
ခြေဆုပ်လက်နယ်,t͡ɕʰesʰoʊʔləkɛʔnɛ
ခြေညှိုး,t͡ɕʰeɲ̥o
ခြေတံကောက်,t͡ɕʰetaɴkɔkɛʔ
ခြေတင်ခုံ,t͡ɕʰetɪɴkʰoʊɴ
ခြေတို,t͡ɕʰeto
ခြေတော်တင်,t͡ɕʰetaʊʔtɪɴ
ခြေတော်ရာ,t͡ɕʰetaʊʔja
ခြေထိုးသည်,t͡ɕʰetʰoθi
ခြေထောက်,t͡ɕʰetʰɔkɛʔ
ခြေနင်း,t͡ɕʰenɪɴ
ခြေနင်းကွက်,t͡ɕʰenɪɴkəwkɛʔ
ခြေနင်းခြစ်,t͡ɕʰenɪɴt͡ɕʰɪʔ
ခြေနင်းခုံ,t͡ɕʰenɪɴkʰoʊɴ
ခြေနင်းခုံခံ,t͡ɕʰenɪɴkʰoʊɴkʰaɴ
ခြေနင်းခွက်,t͡ɕʰenɪɴkʰəwkɛʔ
ခြေနင်းရာ,t͡ɕʰenɪɴja
ခြေပစ်,t͡ɕʰepɪʔ
ခြေပစ်လက်ပစ်,t͡ɕʰepɪʔləkɛʔpɪʔ
ခြေပုန်းခုတ်,t͡ɕʰepoʊɴkʰoʊʔ
ခြေပုန်ခုတ်သည်,t͡ɕʰepoʊɴkʰoʊʔθi
ခြေပွတ်တိုင်လည်,t͡ɕʰepʊʔtaɪɴli
ခြေဖနောင့်,t͡ɕʰepʰənaʊɴ
ခြေဖမိုး,t͡ɕʰepʰəmo
ခြေဖမိုးဖုံ,t͡ɕʰepʰəmopʰoʊɴ
ခြေဖယ်,t͡ɕʰepʰɛ
ခြေဖျား,t͡ɕʰepʰəja
ခြေဖျားထောက်,t͡ɕʰepʰəjatʰɔkɛʔ
ခြေဖျားထောက်သည်နှင့်,t͡ɕʰepʰəjatʰɔkɛʔθin̥ɪɴ
ခြေဖဝါး,t͡ɕʰepʰəwəါး
ခြေဖဝါးလက်ဖဝါး,t͡ɕʰepʰəwəါးləkɛʔpʰəwəါး
ခြေဖဦး,t͡ɕʰepʰəʔuး
ခြေမ,t͡ɕʰem
ခြေမကြိုး,t͡ɕʰemət͡ɕo
ခြေမျက်,t͡ɕʰeməjkɛʔ
ခြေမျက်စိ,t͡ɕʰeməjkɛʔsi
ခြေမြန်တပ်,t͡ɕʰeməjaɴtaʔ
ခြေမြန်တော်,t͡ɕʰeməjaɴtaʊʔ
ခြေမွ,t͡ɕʰeməw
ခြေမွှ,t͡ɕʰeməwှ
ခြေရင်း,t͡ɕʰejɪɴ
ခြေရာ,t͡ɕʰeja
ခြေရာကောက်သည်,t͡ɕʰejakɔkɛʔθi
ခြေရာခံသည်,t͡ɕʰejakʰaɴθi
ခြေရာခံသူ,t͡ɕʰejakʰaɴθu
ခြေရာလက်ရာ,t͡ɕʰejaləkɛʔja
ခြေလယ်,t͡ɕʰelɛ
ခြေလျင်,t͡ɕʰeləjɪɴ
ခြေလျင်တပ်,t͡ɕʰeləjɪɴtaʔ
ခြေလျင်တော်,t͡ɕʰeləjɪɴtaʊʔ
ခြေလှမ်း,t͡ɕʰeɬaɴ
ခြေလုံး,t͡ɕʰeloʊɴ
ခြေလွန်လက်လွန်,t͡ɕʰelʊɴləkɛʔlʊɴ
ခြေသည်,t͡ɕʰeθi
ခြေသည်း,t͡ɕʰeθi
ခြေသည်းလက်သည်း,t͡ɕʰeθiləkɛʔθi
ခြေသည်လက်သည်,t͡ɕʰeθiləkɛʔθi
ခြေသည်သူရဲ,t͡ɕʰeθiθujɛ
ခြေသန်း,t͡ɕʰeθaɴ
ခြေသပွတ်လိုက်,t͡ɕʰeθəpʊʔlokɛʔ
ခြေသလုံး,t͡ɕʰeθəloʊɴ
ခြေသလုံးကြွက်သား,t͡ɕʰeθəloʊɴt͡ɕəwkɛʔθa
ခြေသလုံးသား,t͡ɕʰeθəloʊɴθa
ခြေသိမ်း,t͡ɕʰeθeɪɴ
ခြေသိမ်းခေါင်းပိုက်,t͡ɕʰeθeɪɴkʰeါɪɴpokɛʔ
ခြေသုတ်ဖုံ,t͡ɕʰeθoʊʔpʰoʊɴ
ခြေသူကြွယ်,t͡ɕʰeθut͡ɕəwɛ
ခြေဟန်လက်ဟန်,t͡ɕʰehaɴləkɛʔhaɴ
ခြေအိတ်,t͡ɕʰeʔeɪʔ
ခြောက်,t͡ɕʰɔkɛʔ
ခြောက်ကပ်,t͡ɕʰɔkɛʔkaʔ
ခြောက်ကပ်ကပ်,t͡ɕʰɔkɛʔkaʔkaʔ
ခြောက်ခန်း,t͡ɕʰɔkɛʔkʰaɴ
ခြောက်ခန်းသည်,t͡ɕʰɔkɛʔkʰaɴθi
ခြောက်ချက်,t͡ɕʰɔkɛʔt͡ɕʰəkɛʔ
ခြောက်ခြိမ်း,t͡ɕʰɔkɛʔt͡ɕʰeɪɴ
ခြောက်ခေါက်ချိုး,t͡ɕʰɔkɛʔkʰeါkɛʔt͡ɕʰo
ခြောက်ဂဏန်း,t͡ɕʰɔkɛʔɡənaɴ
ခြောက်စထောင်လှည်း,t͡ɕʰɔkɛʔsətʰaʊɴɬi
ခြောက်တ,t͡ɕʰɔkɛʔt
ခြောက်တပ်,t͡ɕʰɔkɛʔtaʔ
ခြောက်ပြစ်ကင်း,t͡ɕʰɔkɛʔpəjɪʔkɪɴ
ခြောက်ပေါက်သီချင်း,t͡ɕʰɔkɛʔpeါkɛʔθit͡ɕʰɪɴ
ခြောက်လှန့်,t͡ɕʰɔkɛʔɬaɴ
ခြောက်လှန့်သည်,t͡ɕʰɔkɛʔɬaɴθi
ခြောက်လုံးပတ်,t͡ɕʰɔkɛʔloʊɴpaʔ
ခြောက်လုံးပြူး,t͡ɕʰɔkɛʔloʊɴpəju
ခြောက်လုံးလှန့်လုံး,t͡ɕʰɔkɛʔloʊɴɬaɴloʊɴ
ခြောက်သယောင်း,t͡ɕʰɔkɛʔθəjaʊɴ
ခြောက်သော,t͡ɕʰɔkɛʔθɔ
ခြောက်သွေ့,t͡ɕʰɔkɛʔθəwe
ခြောက်သွေ့ထိုင်းမိုင်းသော,t͡ɕʰɔkɛʔθəwetʰaɪɴmaɪɴθɔ
ခြောက်သွေ့သော,t͡ɕʰɔkɛʔθəweθɔ
ခြောင်း,t͡ɕʰaʊɴ
ခြောင်းခြောင်း,t͡ɕʰaʊɴt͡ɕʰaʊɴ
ခြဲ,t͡ɕʰɛ
ခြွ,t͡ɕʰəw
ခြွင်း,t͡ɕʰəwɪɴ
ခြွင်းချက်,t͡ɕʰəwɪɴt͡ɕʰəkɛʔ
ခြွင်းချန်,t͡ɕʰəwɪɴt͡ɕʰaɴ
ခြွင်းချန်သည်,t͡ɕʰəwɪɴt͡ɕʰaɴθi
ခြွင်းသည်,t͡ɕʰəwɪɴθi
ခြွန်း,t͡ɕʰʊɴ
ခြွမ်း,t͡ɕʰʊɴ
ခြွမ်းခြွမ်း,t͡ɕʰʊɴt͡ɕʰʊɴ
ခြွေ,t͡ɕʰəwe
ခြွေး,t͡ɕʰəwe
ခြွေချ,t͡ɕʰəwet͡ɕʰ
ခြွေဆွတ်,t͡ɕʰəwesʰʊʔ
ခြွေရံ,t͡ɕʰəwejaɴ
ခြွေရံသင်းပင်း,t͡ɕʰəwejaɴθɪɴpɪɴ
ခြွေသည်,t͡ɕʰəweθi
ခလယ်,kʰəlɛ
ခလယ်ကောင်,kʰəlɛkaʊɴ
ခလာပွေး,kʰəlapəwe
ခလာသီး,kʰəlaθi
ခလိုင်,kʰəlaɪɴ
ခလုတ်,kʰəloʊʔ
ခလုတ်ဆူးငြောင့်,kʰəloʊʔsʰud͡ʑaʊɴ
ခလုတ်တံသင်း,kʰəloʊʔtaɴθɪɴ
ခလုတ်တိုက်သည်,kʰəloʊʔtokɛʔθi
ခလုပ်နှိပ်သည်,kʰəloʊʔn̥eɪʔθi
ခလုပ်ပိတ်သည်,kʰəloʊʔpeɪʔθi
ခလုပ်ဖြုတ်သည်,kʰəloʊʔpʰəjoʊʔθi
ခလောက်,kʰəlɔkɛʔ
ခလောက်ဆန်,kʰəlɔkɛʔsʰaɴ
ခလောက်ဆွဲ,kʰəlɔkɛʔsʰəwɛ
ခလောင်,kʰəlaʊɴ
ခလဲ့,kʰəlɛ
ခလဲ့လက်ဖွဲ့,kʰəlɛləkɛʔpʰəwɛ
ခဝါ,kʰəwəါ
ခဝါချ,kʰəwəါt͡ɕʰ
ခဝါတန်း,kʰəwəါtaɴ
ခဝါတဲ,kʰəwəါtɛ
ခဝါပေး,kʰəwəါpe
ခဝါဖွပ်,kʰəwəါpʰʊʔ
ခဝါရုံ,kʰəwəါjoʊɴ
ခဝါသည်,kʰəwəါθi
ခဝဲ,kʰəwɛ
ခအုံး,kʰəʔoʊɴ
ခအုံးပင်,kʰəʔoʊɴpɪɴ
ခအောင်းကြီး,kʰəʔaʊɴt͡ɕi
ခါ,kʰəါ
ခါး,kʰəါး
ခါးကျဉ်,kʰəါးt͡ɕɪɴ
ခါးကြိုး,kʰəါးt͡ɕo
ခါးကြိုးတန်ဆာ,kʰəါးt͡ɕotaɴsʰa
ခါးကြောင်ရုပ်,kʰəါးt͡ɕaʊɴjoʊʔ
ခါးကိုက်,kʰəါးkokɛʔ
ခါးကိုက်သည်,kʰəါးkokɛʔθi
ခါးကုန်း,kʰəါးkoʊɴ
ခါးချစ်,kʰəါးt͡ɕʰɪʔ
ခါးချည့်,kʰəါးt͡ɕʰi
ခါးချပ်ဝတ်,kʰəါးt͡ɕʰaʔwaʔ
ခါးချို,kʰəါးt͡ɕʰo
ခါးချိုးသေနတ်,kʰəါးt͡ɕʰoθenaʔ
ခါးခါးသီးသီး,kʰəါးkʰəါးθiθi
ခါးစည်း,kʰəါးsi
ခါးစည်းရင်ကျယ်,kʰəါးsijɪɴt͡ɕɛ
ခါးစည်းရှေ့ဖုံး,kʰəါးsiʃepʰoʊɴ
ခါးစောင်းတင်,kʰəါးsaʊɴtɪɴ
ခါးဆစ်,kʰəါးsʰɪʔ
ခါးဆစ်သား,kʰəါးsʰɪʔθa
ခါးဆီးပတ်မြီ,kʰəါးsʰipaʔməji
ခါးဆုံ,kʰəါးsʰoʊɴ
ခါးဆုံချ,kʰəါးsʰoʊɴt͡ɕʰ
ခါးဆုံစိုင်း,kʰəါးsʰoʊɴsaɪɴ
ခါးဆုံစီးသွား,kʰəါးsʰoʊɴsiθəwa
ခါးဆုံပြေး,kʰəါးsʰoʊɴpəje
ခါးဆုံပေါင်,kʰəါးsʰoʊɴpeါɪɴ
ခါးညောင်း,kʰəါးɲaʊɴ
ခါးတင်ထိုး,kʰəါးtɪɴtʰo
ခါးတို့,kʰəါးto
ခါးတိုင်,kʰəါးtaɪɴ
ခါးတောက်ကျိုက်,kʰəါးtɔkɛʔt͡ɕokɛʔ
ခါးတောင်,kʰəါးtaʊɴ
